antimage	models/heroes/antimage/antimage.vmdl_c
furion	models/heroes/furion/furion.vmdl_c
life_stealer	models/heroes/life_stealer/life_stealer.vmdl_c
dark_seer	models/heroes/dark_seer/dark_seer.vmdl_c
clinkz	models/heroes/clinkz/clinkz.vmdl_c
omniknight	models/heroes/omniknight/omniknight.vmdl_c
enchantress	models/heroes/enchantress/enchantress.vmdl_c
huskar	models/heroes/huskar/huskar.vmdl_c
night_stalker	models/heroes/nightstalker/nightstalker.vmdl_c
broodmother	models/heroes/broodmother/broodmother.vmdl_c
bounty_hunter	models/heroes/bounty_hunter/bounty_hunter.vmdl_c
weaver	models/heroes/weaver/weaver.vmdl_c
jakiro	models/heroes/jakiro/jakiro.vmdl_c
batrider	models/heroes/batrider/batrider.vmdl_c
chen	models/heroes/chen/chen.vmdl_c
spectre	models/heroes/spectre/spectre.vmdl_c
doom_bringer	models/heroes/doom/doom.vmdl_c
ancient_apparition	models/heroes/ancient_apparition/ancient_apparition.vmdl_c
ursa	models/heroes/ursa/ursa.vmdl_c
spirit_breaker	models/heroes/spirit_breaker/spirit_breaker.vmdl_c
gyrocopter	models/heroes/gyro/gyro.vmdl_c
alchemist	models/heroes/alchemist/alchemist.vmdl_c
invoker	models/heroes/invoker/invoker.vmdl_c
silencer	models/heroes/silencer/silencer.vmdl_c
obsidian_destroyer	models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl_c
lycan	models/heroes/lycan/lycan.vmdl_c
brewmaster	models/heroes/brewmaster/brewmaster.vmdl_c
shadow_demon	models/heroes/shadow_demon/shadow_demon.vmdl_c
lone_druid	models/heroes/lone_druid/lone_druid.vmdl_c
chaos_knight	models/heroes/chaos_knight/chaos_knight.vmdl_c
meepo	models/heroes/meepo/meepo.vmdl_c
treant	models/heroes/treant_protector/treant_protector.vmdl_c
ogre_magi	models/heroes/ogre_magi/ogre_magi.vmdl_c
undying	models/heroes/undying/undying.vmdl_c
rubick	models/heroes/rubick/rubick.vmdl_c
disruptor	models/heroes/disruptor/disruptor.vmdl_c
nyx_assassin	models/heroes/nerubian_assassin/nerubian_assassin.vmdl_c
naga_siren	models/heroes/siren/siren.vmdl_c
keeper_of_the_light	models/heroes/keeper_of_the_light/keeper_of_the_light.vmdl_c
wisp	models/heroes/wisp/wisp.vmdl_c
visage	models/heroes/visage/visage.vmdl_c
slark	models/heroes/slark/slark.vmdl_c
medusa	models/heroes/medusa/medusa.vmdl_c
troll_warlord	models/heroes/troll_warlord/troll_warlord.vmdl_c
centaur	models/heroes/centaur/centaur.vmdl_c
magnataur	models/heroes/magnataur/magnataur.vmdl_c
shredder	models/heroes/shredder/shredder.vmdl_c
bristleback	models/heroes/bristleback/bristleback.vmdl_c
tusk	models/heroes/tuskarr/tuskarr.vmdl_c
skywrath_mage	models/heroes/skywrath_mage/skywrath_mage.vmdl_c
abaddon	models/heroes/abaddon/abaddon.vmdl_c
elder_titan	models/heroes/elder_titan/elder_titan.vmdl_c
legion_commander	models/heroes/legion_commander/legion_commander.vmdl_c
ember_spirit	models/heroes/ember_spirit/ember_spirit.vmdl_c
earth_spirit	models/heroes/earth_spirit/earth_spirit.vmdl_c
terrorblade	models/heroes/terrorblade/terrorblade.vmdl_c
phoenix	models/heroes/phoenix/phoenix_bird.vmdl_c
oracle	models/heroes/oracle/oracle.vmdl_c
techies	models/heroes/techies/techies.vmdl_c
winter_wyvern	models/heroes/winterwyvern/winterwyvern.vmdl_c
arc_warden	models/heroes/arc_warden/arc_warden.vmdl_c
abyssal_underlord	models/heroes/abyssal_underlord/abyssal_underlord_v2.vmdl_c
monkey_king	models/heroes/monkey_king/monkey_king.vmdl_c
pangolier	models/heroes/pangolier/pangolier.vmdl_c
dark_willow	models/heroes/dark_willow/dark_willow.vmdl_c
grimstroke	models/heroes/grimstroke/grimstroke.vmdl_c
mars	models/heroes/mars/mars.vmdl_c
void_spirit	models/heroes/void_spirit/void_spirit.vmdl_c
snapfire	models/heroes/snapfire/snapfire.vmdl_c
hoodwink	models/heroes/hoodwink/hoodwink.vmdl_c
dawnbreaker	models/heroes/dawnbreaker/dawnbreaker.vmdl_c
marci	models/heroes/marci/marci_base.vmdl_c
primal_beast	models/heroes/primal_beast/primal_beast_base.vmdl_c
muerta	models/heroes/muerta/muerta_base.vmdl_c
ringmaster	models/heroes/ringmaster/ringmaster_base.vmdl_c
kez	models/heroes/kez/kez_base.vmdl_c
largo	models/heroes/bard/bard_frog_base.vmdl_c
